site;secteur;date; passage;nombre_observateurs;observateur_1;observateur_2;observateur_3;observateur_4; placette;habitat_predominant;pourcentage_habitat_predominant;surface_eau_libre;temps_total_prospection_min;temps_recolte_par_personne_min;helophytes;helophytes_1;helophytes_2;helophytes_3;helophytes_4;profondeur_eau_cm;exuvies;remarque;nombre_exuvies_anisopteres;nombre_exuvies_zygopteres;espece;genre_famille;sexe;determinateur;verification_hors_PNR;nenuphar;exuvies_sur_nenuphar;temperature_generale;heure_arrivee;heure_depart;temps_passe
TGF;NA;19/07/2021;1;2;MC;IN;NA;NA;86;zone_a_sphaignes;NA;31_40;14;NA;1;carex;NA;NA;NA;40;0;mare_d_eau_libre;NA;NA;NA;;NA;NA;NA;NA;NA;15,4;10:02:00;10:16:00;00:14
TGF;NA;19/07/2021;1;2;MC;IN;NA;NA;35;fosse_d_extraction;NA;31_40;16;NA;0;NA;NA;NA;NA;30;1;2 larves vivantes et 2 individu émergés morts;1;NA;leucorrhinia_dubia;;NA;ME_MC;NA;NA;NA;15,4;10:25:00;10:41:00;00:16
TGF;NA;19/07/2021;1;2;MC;IN;NA;NA;34;fosse_d_extraction;NA;21_30;10;NA;0;NA;NA;NA;NA;30;0;1 larve vivante et 1 exuvie non récoltée (non exploitable);NA;NA;NA;;NA;NA;NA;NA;NA;15,4;10:46:00;10:56:00;00:10
TGF;NA;19/07/2021;1;2;MC;IN;NA;NA;58;bas_marais;NA;1_10;10;NA;1;carex;NA;NA;NA;3;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;16;11:05:00;11:15:00;00:10
TGF;NA;19/07/2021;1;2;MC;IN;NA;NA;61;bas_marais;NA;0;10;NA;1;NA;NA;scheuchzerie;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;16;11:25:00;11:35:00;00:10
TGF;NA;19/07/2021;1;2;MC;IN;NA;NA;62;bas_marais;NA;1_10;9;NA;1;NA;NA;scheuchzerie;NA;2;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;16;11:37:00;11:46:00;00:09
TGF;NA;19/07/2021;1;2;MC;IN;NA;NA;36;fosse_d_extraction;NA;21_30;10;NA;0;NA;NA;NA;NA;5;0;1 ind. émergent mort;NA;NA;NA;;NA;NA;NA;NA;NA;16;11:54:00;12:04:00;00:10
TGF;NA;19/07/2021;1;2;MC;IN;NA;NA;57;bas_marais;NA;1_10;8;NA;0;NA;NA;NA;NA;5;0;cours_d_eau;NA;NA;NA;;NA;NA;NA;NA;NA;16,7;12:16:00;12:24:00;00:08
TGF;NA;19/07/2021;1;2;MC;IN;NA;NA;31;fosse_d_extraction;NA;21_30;17;NA;0;NA;NA;NA;NA;10;1;NA;1;NA;somatochlora_alpestris;;NA;ME_MC;NA;NA;NA;16,7;12:32:00;12:49:00;00:17
TGF;NA;19/07/2021;1;2;MC;IN;NA;NA;31;fosse_d_extraction;NA;21_30;17;NA;0;NA;NA;NA;NA;10;1;NA;2;NA;aeshna_juncea;;NA;ME_MC;NA;NA;NA;16,7;12:32:00;12:49:00;00:17
TGF;NA;19/07/2021;1;2;MC;ME;NA;NA;33;mare_a_sphaignes;NA;1_10;12;NA;1;carex;NA;NA;NA;3;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,5;14:34:00;14:46:00;00:12
TGF;NA;19/07/2021;1;2;MC;ME;NA;NA;59;bas_marais;NA;1_10;9;NA;1;carex;NA;NA;molinie;5;0;cours_d_eau;NA;NA;NA;;NA;NA;NA;NA;NA;17,7;14:50:00;14:59:00;00:09
TGF;NA;19/07/2021;1;2;MC;ME;NA;NA;22;mare_a_sphaignes;NA;1_10;12;NA;0;NA;NA;NA;NA;2;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,7;15:08:00;15:20:00;00:12
TGF;NA;19/07/2021;1;2;MC;ME;NA;NA;29;fosse_d_extraction;NA;0;9;NA;1;carex;NA;NA;NA;0;0;mare_a_sphaigne;NA;NA;NA;;NA;NA;NA;NA;NA;17,7;15:26:00;15:35:00;00:09
TGF;NA;19/07/2021;1;2;MC;ME;NA;NA;28;fosse_d_extraction;NA;21_30;10;NA;1;carex;NA;NA;molinie;20;0;1 ind entrain d'émerger (Aeschna);NA;NA;NA;;NA;NA;NA;NA;NA;17,7;15:36:00;15:46:00;00:10
TGF;NA;19/07/2021;1;2;MC;ME;NA;NA;27;fosse_d_extraction;NA;1_10;8;NA;1;carex;NA;NA;NA;5;0;cours_d_eau;NA;NA;NA;;NA;NA;NA;NA;NA;17,7;15:50:00;15:58:00;00:08
TGF;NA;19/07/2021;1;2;TH;CJ;NA;NA;51;bas_marais;NA;0;6;NA;1;carex;NA;NA;NA;0;0;carex_rostrata;NA;NA;NA;;NA;NA;NA;NA;NA;17,5;14:10:00;14:16:00;00:06
TGF;NA;19/07/2021;1;2;TH;CJ;NA;NA;53;bas_marais;NA;1_10;6;NA;1;NA;NA;NA;molinie;5;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,5;14:21:00;14:27:00;00:06
TGF;NA;19/07/2021;1;2;TH;CJ;NA;NA;56;bas_marais;NA;0;7;NA;1;carex;NA;NA;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,5;14:31:00;14:38:00;00:07
